track,matter_label,event_date,event,regime,remedy,posture,source_url
CFIUS forced-unwind track,Ralls wind farm project companies,2012-03-01,Ralls acquired four Oregon wind farm project companies,CFIUS,post-closing review,court-described transaction history,https://law.justia.com/cases/federal/appellate-courts/cadc/13-5315/13-5315-2014-07-15.html
CFIUS forced-unwind track,Ralls wind farm project companies,2012-07-25,CFIUS issued interim mitigation measures restricting access and construction,CFIUS,mitigation,court-described interim mitigation,https://law.justia.com/cases/federal/appellate-courts/cadc/13-5315/13-5315-2014-07-15.html
CFIUS forced-unwind track,Ralls wind farm project companies,2012-09-28,President prohibited acquisition and ordered divestiture,CFIUS,forced_unwind,presidential finding and order,https://www.federalregister.gov/documents/2012/10/03/2012-24533/regarding-the-acquisition-of-four-us-wind-farm-project-companies-by-ralls-corporation
CFIUS forced-unwind track,Ralls wind farm project companies,2014-07-15,D.C. Circuit required due-process access to unclassified evidence and response opportunity,CFIUS,judicial_process,court holding on procedure,https://law.justia.com/cases/federal/appellate-courts/cadc/13-5315/13-5315-2014-07-15.html
Forfeiture recovery track,1MDB asset recovery,2016-07-20,DOJ began landmark 1MDB civil forfeiture effort,Forfeiture,forfeiture,DOJ-described civil forfeiture effort,https://www.justice.gov/archives/opa/pr/justice-department-repatriates-14b-misappropriated-1mdb-funds-malaysia
Forfeiture recovery track,1MDB asset recovery,2024-06-13,DOJ repatriated additional 156M and reported approximately 1.4B returned,Forfeiture,repatriation,official return and allegation caveat,https://www.justice.gov/archives/opa/pr/justice-department-repatriates-14b-misappropriated-1mdb-funds-malaysia
Forfeiture recovery track,1MDB asset recovery,2026-05-27,DOJ obtained order forfeiting additional 1MDB-linked apartment and rental income,Forfeiture,forfeiture_order,official forfeiture order,https://www.justice.gov/opa/pr/justice-department-recovers-over-6m-additional-funds-linked-1mdb-scheme
